gene_id,gene_name,entrez_id,gene_type,logFC,logCPM,F,PValue,FDR
ENSG00000169248,CXCL11,6373,protein_coding,4.325071355,-1.253257374,162.5746226,1.85E-25,3.70E-21
ENSG00000107593,PKD2L1,9033,protein_coding,3.825870121,-1.287012078,170.6962245,7.16E-25,6.75E-21
ENSG00000290525,GBP1P1.1,400759,lncRNA,4.518466914,1.228803063,162.9283779,1.23E-24,6.75E-21
ENSG00000108700,CCL8,6355,protein_coding,5.326166043,0.639781696,158.0922329,1.35E-24,6.75E-21
ENSG00000163666,HESX1,8820,protein_coding,4.863630564,1.108264017,149.1016359,1.14E-22,4.55E-19
ENSG00000163823,CCR1,1230,protein_coding,2.111848883,7.255193352,158.8905169,8.14E-22,2.71E-18
ENSG00000287181,ENSG00000287181,124900731,lncRNA,3.847295305,-1.638813594,132.6133971,1.04E-21,2.98E-18
ENSG00000173369,C1QB,713,protein_coding,3.447098214,1.670761025,156.5401958,1.30E-21,3.14E-18
ENSG00000226004,LINC02528,105378020,lncRNA,4.332775764,1.376024645,141.8542905,1.41E-21,3.14E-18
ENSG00000130487,KLHDC7B,113730,protein_coding,2.054876261,3.651001107,155.0889691,1.66E-21,3.31E-18
ENSG00000078098,FAP,2191,protein_coding,4.11013893,0.077331131,128.9833494,4.54E-21,8.24E-18
ENSG00000104972,LILRB1,10859,protein_coding,1.639323501,7.05692475,146.2370872,9.04E-21,1.50E-17
ENSG00000243649,CFB,629,protein_coding,3.295349669,-0.75957128,124.79665,9.96E-21,1.50E-17
ENSG00000146166,LGSN,51557,protein_coding,2.212956764,-0.999607426,131.6209968,1.05E-20,1.50E-17
ENSG00000060656,PTPRU,10076,protein_coding,3.143750852,0.091858314,142.0465081,1.55E-20,2.01E-17
ENSG00000280270,ENSG00000280270,NA,TEC,3.342149197,-0.627507242,122.0792317,1.61E-20,2.01E-17
ENSG00000186818,LILRB4,11006,protein_coding,1.831610768,4.981251285,142.297627,1.97E-20,2.31E-17
ENSG00000019169,MARCO,8685,protein_coding,2.15716627,3.4597436,141.5938969,2.29E-20,2.31E-17
ENSG00000110079,MS4A4A,51338,protein_coding,2.147846434,2.204742095,141.4742404,2.33E-20,2.31E-17
ENSG00000143382,ADAMTSL4,54507,protein_coding,1.348692987,6.160661172,141.3548557,2.37E-20,2.31E-17
ENSG00000233785,ENSG00000233785,NA,lncRNA,3.416815455,0.005159308,129.6644978,2.42E-20,2.31E-17
ENSG00000253838,ENSG00000253838,NA,lncRNA,4.348497416,0.763720674,120.9314121,3.06E-20,2.77E-17
ENSG00000132669,RIN2,54453,protein_coding,2.314754044,5.403454562,139.8153364,3.23E-20,2.80E-17
ENSG00000141504,SAT2,112483,protein_coding,0.95191922,3.943068133,139.3158154,3.57E-20,2.97E-17
ENSG00000232884,ENSG00000232884,NA,lncRNA,3.210187882,0.365061952,138.8560101,4.03E-20,3.09E-17
ENSG00000115415,STAT1,6772,protein_coding,2.513128262,10.25703464,138.5677741,4.15E-20,3.09E-17
ENSG00000284194,SCO2,9997,protein_coding,2.797227383,6.81968294,138.5291619,4.18E-20,3.09E-17
ENSG00000168658,VWA3B,200403,protein_coding,3.60456214,-1.13614852,117.4267023,4.79E-20,3.42E-17
ENSG00000106605,BLVRA,644,protein_coding,1.757867651,5.199149434,136.0792342,6.88E-20,4.64E-17
ENSG00000225492,GBP1P1,NA,transcribed_unprocessed_pseudogene,5.203338748,3.416336127,127.1258745,6.97E-20,4.64E-17
ENSG00000152804,HHEX,3087,protein_coding,1.038978072,5.259781779,135.2822493,8.09E-20,5.21E-17
ENSG00000244682,FCGR2C,NA,protein_coding,1.610475815,5.807634793,134.8893469,8.77E-20,5.47E-17
ENSG00000197272,IL27,246778,protein_coding,3.216057652,1.318031623,135.1218889,9.04E-20,5.47E-17
ENSG00000225217,HSPA7,3311,unprocessed_pseudogene,1.522399503,5.652245225,134.4573211,9.59E-20,5.63E-17
ENSG00000123685,BATF3,55509,protein_coding,2.216324646,2.015115217,132.7717456,1.36E-19,7.63E-17
ENSG00000135047,CTSL,1514,protein_coding,2.023345078,3.28937543,132.7156241,1.37E-19,7.63E-17
ENSG00000159189,C1QC,714,protein_coding,3.645591814,1.038497136,130.6901411,1.47E-19,7.96E-17
ENSG00000113273,ARSB,411,protein_coding,1.172014096,5.231699138,130.3399168,2.25E-19,1.18E-16
ENSG00000205837,LINC00487,400941,lncRNA,3.530294994,-0.208159609,120.2286741,2.36E-19,1.21E-16
ENSG00000025708,TYMP,1890,protein_coding,2.258082266,9.762712983,128.0360162,3.66E-19,1.82E-16
ENSG00000254415,SIGLEC14,100049587,protein_coding,1.668246186,6.805287664,126.8553676,3.73E-19,1.82E-16
ENSG00000271605,MILR1,284021,protein_coding,1.078083181,3.491387711,127.4161444,4.18E-19,1.99E-16
ENSG00000108691,CCL2,6347,protein_coding,5.047617434,1.676377208,116.7535049,4.48E-19,2.08E-16
ENSG00000186407,CD300E,342510,protein_coding,2.088669794,7.533369,126.1112227,5.51E-19,2.50E-16
ENSG00000101986,ABCD1,215,protein_coding,1.389958318,5.805989545,125.8846142,5.78E-19,2.52E-16
ENSG00000133101,CCNA1,8900,protein_coding,2.409852935,0.055514645,126.4645815,5.81E-19,2.52E-16
ENSG00000197122,SRC,6714,protein_coding,1.284827243,5.953787784,125.6928539,6.02E-19,2.53E-16
ENSG00000138496,PARP9,83666,protein_coding,2.633861519,8.589030054,125.6550356,6.07E-19,2.53E-16
ENSG00000139318,DUSP6,1848,protein_coding,1.238820336,7.941096802,125.5057562,6.27E-19,2.56E-16
ENSG00000204642,HLA-F,3134,protein_coding,0.987308411,8.768173293,125.2234762,6.66E-19,2.66E-16
ENSG00000130052,STARD8,9754,protein_coding,1.204472967,4.079208414,124.2863307,8.15E-19,3.19E-16
ENSG00000229023,RAB1AP1,NA,processed_pseudogene,2.482298243,3.438092686,124.0895118,8.52E-19,3.27E-16
ENSG00000134470,IL15RA,3601,protein_coding,1.468489258,4.02112371,123.6922796,9.26E-19,3.49E-16
ENSG00000123130,ACOT9,23597,protein_coding,1.891895415,5.807993118,123.4925535,9.67E-19,3.58E-16
ENSG00000133216,EPHB2,2048,protein_coding,2.083463475,2.892006533,123.3789067,9.93E-19,3.61E-16
ENSG00000121380,BCL2L14,79370,protein_coding,3.384321487,0.431147714,117.4207507,1.06E-18,3.77E-16
ENSG00000131042,LILRB2,10288,protein_coding,1.153874183,8.38199114,122.8224093,1.12E-18,3.92E-16
ENSG00000089692,LAG3,3902,protein_coding,1.404948023,2.820128874,122.7338547,1.14E-18,3.93E-16
ENSG00000228318,ENSG00000228318,NA,lncRNA,3.895206773,-0.912853398,106.8032141,1.42E-18,4.81E-16
ENSG00000134575,ACP2,53,protein_coding,1.111264985,4.249789386,121.3250161,1.55E-18,5.16E-16
ENSG00000104951,IL4I1,259307,protein_coding,2.551942166,2.967068303,121.1984919,1.60E-18,5.22E-16
ENSG00000165097,KDM1B,221656,protein_coding,1.161732009,6.141039234,121.0446566,1.65E-18,5.30E-16
ENSG00000188282,RUFY4,285180,protein_coding,3.347300424,3.408344632,120.1379039,2.02E-18,6.39E-16
ENSG00000173372,C1QA,712,protein_coding,2.43978299,0.775383818,120.2264552,2.10E-18,6.42E-16
ENSG00000168961,LGALS9,3965,protein_coding,2.065993398,7.506222793,119.9184995,2.11E-18,6.42E-16
ENSG00000285492,ENSG00000285492,112267968,lncRNA,1.773836141,1.321569649,119.8848867,2.15E-18,6.42E-16
ENSG00000159228,CBR1,873,protein_coding,1.458085715,3.804981839,119.8222623,2.15E-18,6.42E-16
